gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SAE-1 TPM,SAE-2 TPM,SAE-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SAE-1 Normalised Read Counts,SAE-2 Normalised Read Counts,SAE-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
AKAP17A,7.95,8.36,7.69,7.88,8.68,8.41,332.3595859,353.7691939,327.666771,356.0773084,383.9043049,380.6304659,1.10535987,Up,1
ASMT,0,0,0.14,0.04,0,0.09,0,0,0.494218358,0.460643348,0,1.089071433,3.013467116,Up,1
ASMTL,6.57,6.91,6.27,4.92,4.97,4.7,166.179793,170.3333156,158.6440928,125.7556341,125.5372286,119.7978577,1.334302221,Down,0.999999993
ASMTL-AS1,1.59,1.73,2.9,2.76,3.45,3.05,11.14620563,12.1666654,18.78029759,22.57152407,27.60777227,23.41503581,1.747834614,Up,1
CD99,564.13,574.48,576.34,422.86,413.08,410.1,8191.447844,8408.101688,8337.95791,6590.88503,6512.308847,6411.908063,1.277856461,Down,0
CD99P1,2.4,2.13,2.29,1.63,2.34,2.1,49.1446339,33.69230418,35.08950338,33.16632109,41.67210908,35.9393573,1.064514004,Down,1
CRLF2,0,0.04,0,0.02,0.08,0,0,0.467948669,0,0.460643348,1.041802727,0,3.077518167,Up,1
CSF2RA,0.17,0.26,0.05,0.14,0,0.09,2.026582841,1.403846008,1.482655073,1.381930045,0,2.178142867,1.376875635,Down,1
DHRSX,10.68,8.35,9.94,8.13,8.54,6.52,231.0304439,212.6733112,227.8346628,177.9373126,190.1289977,202.5672866,1.176820147,Down,1
DHRSX-IT1,0,0,0.15,0,0.14,0.15,0,0,0.988436715,0,1.041802727,1.089071433,2.121755951,Up,1
GTPBP6,9.51,9.11,9.14,7.92,8.01,7.23,242.1766495,234.4422833,231.2941913,214.6598004,219.299474,197.1219294,1.121740701,Down,1
IL3RA,0.02,0.1,0,0.06,0.03,0.07,0.50664571,2.339743346,0,0.460643348,0.520901364,0.544535717,1.848483538,Down,1
IL9R,0,0,0,0,0,0.02,0,0,0,0,0,0.544535717,19.15119055,Up,1
LINC00106,0,2.07,1.38,0.94,1.39,1.67,0,5.147435361,3.459528503,2.763860091,4.167210908,4.90082145,1.373386833,Up,1
LINC00685,0.59,0.67,1.01,0.24,0.66,0.42,2.026582841,2.339743346,3.459528503,0.921286697,2.604506818,1.63360715,1.513826971,Down,1
OR10A6,0,0,0.04,0.15,0.17,0.36,0,0,0.494218358,1.842573394,2.083605454,4.356285733,15.85687426,Up,1
PLCXD1,1.37,0.81,0.68,0.81,1.1,0.52,39.5183654,34.62820152,46.45652561,35.46953783,32.8167859,23.41503581,1.315069275,Down,1
PPP2R3B,2.74,2.5,2.44,2.37,3.43,2.27,60.79748523,58.96153232,62.27151305,65.41135548,68.75897999,67.52242886,1.107998333,Up,1
RP13-297E16.4,0,0,0.27,0.26,0.41,0.95,0,0,0.988436715,0.921286697,1.562704091,3.2672143,5.676548186,Up,1
RP13-297E16.5,0,0,0,0.08,0,0,0,0,0,0.460643348,0,0,16.35477828,Up,1
RP13-465B17.4,0.24,0.11,0,0.19,0.32,0,1.013291421,0.467948669,0,0.921286697,1.562704091,0,1.663528386,Up,1
RP13-465B17.5,0,0,0,0.09,0,0,0,0,0,0.460643348,0,0,16.35477828,Up,1
SHOX,1.3,1.07,0.99,0.95,0.81,1.03,41.54494824,39.77563688,39.5374686,31.78439104,30.73318045,37.57296445,1.207425156,Down,1
SLC25A6,72.49,68.38,70.17,58.61,61.48,58.35,2002.770493,1897.063905,1924.486284,1702.998459,1812.736745,1712.020293,1.114114319,Down,8.6097E-05
SNORA22,0,0,0,0,0,5.61,0,0,0,0,0,1.089071433,37.30238111,Up,1
SPRY3,0.49,0.5,0.5,0.31,0.39,0.44,63.83735949,65.98076236,65.23682319,42.37918806,54.69464317,60.98800026,1.233997628,Down,1
VAMP7,7.07,7.77,6.9,6.56,6.85,6.98,250.2829809,261.1153574,243.6496503,241.8377579,259.9297804,255.3872511,1.002790177,Up,1
WASH6P,3.76,5.46,4.66,4.51,3.88,4.92,76.61496431,110.0147321,93.98056286,90.93099699,83.42756238,87.88806466,1.070016287,Down,0.939719208
ZBED1,11.31,12.53,12.36,13.61,14.32,14.49,714.8770972,762.5317154,761.0962706,884.3062489,861.0499539,864.1781823,1.165746476,Up,0.999999356
TSPAN6,59.83,57.12,64.97,36.36,33.9,33.14,1797.57898,1737.961357,1948.208765,1169.112818,1084.516639,1036.796004,1.666571442,Down,0
TNMD,0.12,0.11,0,0.1,0,0,2.026582841,1.871794677,0,1.842573394,0,0,2.097849692,Down,1
DPM1,65.63,64.6,70.61,73.43,61.39,66.06,855.2179589,846.9870912,914.3039614,1030.919814,869.9052771,930.067004,1.081933838,Up,0.845779342
SCYL3,3.99,4.42,4.89,5.41,5.31,5.57,209.7513241,233.9743346,239.201685,269.9370022,270.868709,287.5148584,1.212887711,Up,0.999999999
C1orf112,3.93,3.18,3.53,2.87,2.88,3.05,122.6082619,111.3717833,114.6586589,82.91580272,118.7655109,105.639929,1.134430761,Down,0.839309295
FGR,0.08,0.07,0,0.06,0.07,0.03,1.013291421,0.935897338,0,0.921286697,1.041802727,1.089071433,1.557284945,Up,1
CFH,339.3,347.41,363.38,393.51,380.02,389.23,17704.1365,17886.65467,18681.12773,21365.59664,20604.2326,21276.73118,1.165364276,Up,0
FUCA2,97.87,95.31,99.14,70.55,70.7,72.14,3059.126799,2960.243281,3102.702848,2347.438504,2362.808585,2375.264796,1.287424883,Down,0
GCLC,68.64,64.66,61.32,78.53,74.75,70.95,2275.852531,2419.29462,2319.86097,2409.164712,2510.744572,2416.64951,1.045837338,Up,0.786469875
NFYA,12.79,14.62,12.7,14.45,14.14,13.97,671.8122118,744.038384,675.1022764,816.2600135,806.3553108,793.9330748,1.155714105,Up,0.99999995
STPG1,5.74,7.17,5.21,5.28,5.99,4.91,172.2595415,171.2692129,178.9070454,165.8316054,183.35728,161.1825721,1.023636967,Down,1
NIPAL3,28.69,26.22,28.5,28.95,27.03,27.49,1889.788499,1779.14084,1889.890999,2049.862901,1841.907221,1945.08158,1.050015983,Up,0.893523361
LAS1L,15.29,15.16,14.88,14.21,16.2,14.66,456.9944307,458.5896958,454.6808889,488.2819494,517.7759554,471.5679306,1.07834869,Up,1
ENPP4,8.46,8.15,8.5,8.09,8.99,7.67,558.3235727,540.0127642,556.4898706,562.9061718,631.3324526,536.9122166,1.046121611,Up,0.915789183
SEMA3F,4.01,3.5,2.91,0.73,1.81,1.1,117.5418048,113.2435779,117.6239691,26.71731421,43.75571454,27.22678583,3.565333193,Down,0
ANKIB1,74.64,66.77,76.41,88.19,69.1,86.29,4590.210135,4598.063623,4618.964769,5387.684604,5398.621732,5407.239666,1.172829801,Up,0
CYP51A1,77.7,75.23,77.32,196.15,175.93,202.06,3183.710979,2972.335075,3133.324618,8358.502538,7574.468399,8596.803173,2.640622897,Up,0
KRIT1,32.98,34.34,32.32,30.48,31.71,32.84,1171.364882,1159.932443,1178.849164,1132.399544,1215.42957,1178.375291,1.004574674,Up,1
RAD52,14.12,9.36,7.3,6.93,9.62,7.07,205.0597848,172.9819051,182.0799273,151.5332359,155.0202458,160.0935007,1.200298361,Down,1
MYH16,0,0,0,0.07,0.03,0.08,0,0,0,1.842573394,3.125408181,2.178142867,239.2041481,Up,1
BAD,36.46,36.57,32.8,29.14,27.53,24.84,380.9975741,376.23073,353.860344,327.9780641,313.5826208,288.6039298,1.194501269,Down,0.999999999
