gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SP-1 TPM,SP-2 TPM,SP-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SP-1 Normalised Read Counts,SP-2 Normalised Read Counts,SP-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
AKAP17A,7.95,8.36,7.69,7.76,7.98,7.48,335.5630879,358.4997554,331.6156042,334.1231576,333.0139982,315.2528693,1.04406305,Down,1
ASMT,0,0,0.14,0.09,0,0.03,0,0,0.500174365,1.037649558,0,0.41700115,2.800306474,Up,1
ASMTL,6.57,6.91,6.27,6.1,5.76,4.88,167.7815439,172.6109934,160.5559713,152.0156602,147.1593548,128.4363542,1.171492154,Down,1
ASMTL-AS1,1.59,1.73,2.9,2.34,2.19,1.94,11.25364014,12.32935667,19.00662588,16.08356815,14.65730626,15.42904255,1.084005771,Up,1
CD99,564.13,574.48,576.34,569.13,633.67,616.37,8270.402446,8520.53387,8438.441718,8453.212122,9160.816411,9134.410189,1.060209922,Up,0.976908194
CD99P1,2.4,2.13,2.29,2.92,2.64,2.39,49.61832244,34.14283385,35.51237994,48.25070444,40.45416527,42.11711614,1.096798888,Up,1
CRLF2,0,0.04,0,0,0,0,0,0.474206026,0,0,0,0,16.80686752,Down,1
CSF2RA,0.17,0.26,0.05,0.55,0.15,0.12,2.046116389,1.422618077,1.500523096,3.631773452,2.931461251,1.25100345,1.56908062,Up,1
DHRSX,10.68,8.35,9.94,11.14,10.05,9.93,233.2572684,215.5171546,230.5803824,244.8852956,253.2782521,243.2701308,1.091375128,Up,1
DHRSX-IT1,0,0,0.15,0.31,0.18,0,0,0,1.000348731,2.075299116,1.172584501,0,3.181334162,Up,1
GTPBP6,9.51,9.11,9.14,9.77,9.71,9.01,244.5109085,237.5772189,234.081603,255.780616,246.8290374,233.1036428,1.027287871,Up,1
IL3RA,0.02,0.1,0,0,0.03,0,0.511529097,2.371030128,0,0,0.58629225,0,4.725938424,Down,1
IL9R,0,0,0,0,0,0.03,0,0,0,0,0,0.884042438,30.46808126,Up,1
LINC00106,0,2.07,1.38,1.67,0.71,2.3,0,5.216266283,3.501220558,4.150598231,1.758876751,6.255017249,1.394056653,Up,0.954495929
LINC00685,0.59,0.67,1.01,0.45,0.51,1.03,2.046116389,2.371030128,3.501220558,1.556474337,1.758876751,3.753010349,1.11974674,Down,1
OR10A6,0,0,0.04,0.14,0.29,0.27,0,0,0.500174365,1.556474337,3.517753502,3.336009199,15.91973809,Up,1
P2RY8,0,0,0,0.01,0,0,0,0,0,0.518824779,0,0,18.2941593,Up,1
PLCXD1,1.37,0.81,0.68,1.33,1.29,0.98,39.89926959,35.0912459,47.01639034,44.61893098,44.55821102,44.20212189,1.09318786,Up,1
PPP2R3B,2.74,2.5,2.44,2.99,3.79,2.69,61.38349168,59.74995924,63.02197004,72.63546904,69.76877779,56.29515524,1.078963802,Up,1
RP11-309M23.1,0,0,0,0.18,0,0,0,0,0,1.037649558,0,0,35.58831859,Up,1
RP13-297E16.4,0,0,0.27,0.33,0.21,0,0,0,1.000348731,1.037649558,0.58629225,0,1.605225259,Up,1
RP13-465B17.4,0.24,0.11,0,0.37,0.14,0.28,1.023058195,0.474206026,0,1.556474337,0.58629225,1.25100345,2.241766677,Up,1
RP13-465B17.5,0,0,0,0,0,0.08,0,0,0,0,0,0.41700115,14.90003833,Up,1
SHOX,1.3,1.07,0.99,1.04,1.3,1.15,41.94538598,40.30751218,40.01394923,34.76126019,42.79933427,42.53411729,1.018082338,Down,1
SLC25A6,72.49,68.38,70.17,63.26,70.07,62.85,2022.074522,1922.431228,1947.678979,1791.501962,1920.693412,1748.902823,1.078937267,Down,0.665244149
SPRY3,0.49,0.5,0.5,0.53,0.47,0.56,64.45266626,66.86304962,66.02301623,71.59781949,61.56068628,74.22620469,1.050899543,Up,1
VAMP7,7.07,7.77,6.9,6.75,7.23,8.07,252.6953741,264.6069623,246.5859621,243.3288213,230.4128544,263.9617279,1.035493709,Down,1
WASH6P,3.76,5.46,4.66,4.69,5.58,5.21,77.3534301,111.4858366,95.11315732,88.25209489,102.589418,106.0100323,1.045422252,Up,0.988517112
WASIR1,0,0.02,0,0,0,0,0,0.312975977,0,0,0,0,11.43253257,Down,1
ZBED1,11.31,12.53,12.36,12.42,15.42,13.29,721.7675563,772.728203,770.2685227,811.960779,902.3037732,821.7508061,1.119768527,Up,0.564323828
TSPAN6,59.83,57.12,64.97,66.7,73.84,71.47,1814.905237,1761.201179,1971.687348,2076.336765,2222.047629,2193.426049,1.170159817,Up,0.000976216
TNMD,0.12,0.11,0,0.06,0.14,0.19,2.046116389,1.896824103,0,1.037649558,2.345169001,3.336009199,1.698698425,Up,1
DPM1,65.63,64.6,70.61,61.13,60.64,60.55,863.4611163,858.3129065,925.3225759,815.5925524,790.3219534,804.8122193,1.098047999,Down,1
SCYL3,3.99,4.42,4.89,4.99,4.52,4.74,211.7730463,237.1030128,242.0843928,241.772347,221.6184706,247.6986831,1.029130719,Up,1
C1orf112,3.93,3.18,3.53,3.16,3.86,4.35,123.7900416,112.8610341,116.0404528,101.6896567,118.4310346,129.2703565,1.009445569,Down,1
FGR,0.08,0.07,0,0,0.26,0.37,1.023058195,0.948412051,0,0,4.690338002,6.672018399,5.691993885,Up,0.595909602
CFH,339.3,347.41,363.38,358.67,356,377.79,17874.7807,18125.83299,18906.2609,18908.78697,18606.52395,19915.75808,1.045972259,Up,0.997090916
FUCA2,97.87,95.31,99.14,100.96,102.43,104.9,3088.61269,2999.827319,3140.094666,3241.617219,3188.257257,3283.467054,1.052533289,Up,1
